freq (Hz),value(db((vfreq('ac "/OUTp") - vfreq('ac "/OUTn"))) "R2" 1000) (dB),value(db((vfreq('ac "/OUTp") - vfreq('ac "/OUTn"))) "R2" 3000) (dB),value(db((vfreq('ac "/OUTp") - vfreq('ac "/OUTn"))) "R2" 30000) (dB),value(db((vfreq('ac "/OUTp") - vfreq('ac "/OUTn"))) "R2" 300000) (dB),value(db((vfreq('ac "/OUTp") - vfreq('ac "/OUTn"))) "R2" 3000000) (dB),value(db((vfreq('ac "/OUTp") - vfreq('ac "/OUTn"))) "R2" 10001000) (dB)
1.000,-328.2E-3,9.319,29.31,48.74,64.48,68.90
1.122,-328.2E-3,9.319,29.31,48.74,64.48,68.90
1.259,-328.2E-3,9.319,29.31,48.74,64.48,68.90
1.413,-328.2E-3,9.319,29.31,48.74,64.48,68.90
1.585,-328.2E-3,9.319,29.31,48.74,64.48,68.90
1.778,-328.2E-3,9.319,29.31,48.74,64.48,68.90
1.995,-328.2E-3,9.319,29.31,48.74,64.48,68.90
2.239,-328.2E-3,9.319,29.31,48.74,64.48,68.90
2.512,-328.2E-3,9.319,29.31,48.74,64.48,68.90
2.818,-328.2E-3,9.319,29.31,48.74,64.48,68.90
3.162,-328.2E-3,9.319,29.31,48.74,64.48,68.90
3.548,-328.2E-3,9.319,29.31,48.74,64.48,68.90
3.981,-328.2E-3,9.319,29.31,48.74,64.48,68.90
4.467,-328.2E-3,9.319,29.31,48.74,64.48,68.90
5.012,-328.2E-3,9.319,29.31,48.74,64.48,68.90
5.623,-328.2E-3,9.319,29.31,48.74,64.48,68.90
6.310,-328.2E-3,9.319,29.31,48.74,64.48,68.90
7.079,-328.2E-3,9.319,29.31,48.74,64.48,68.90
7.943,-328.2E-3,9.319,29.31,48.74,64.48,68.90
8.913,-328.2E-3,9.319,29.31,48.74,64.48,68.90
10.00,-328.2E-3,9.319,29.31,48.74,64.48,68.90
11.22,-328.2E-3,9.319,29.31,48.74,64.48,68.90
12.59,-328.2E-3,9.319,29.31,48.74,64.48,68.90
14.13,-328.2E-3,9.319,29.31,48.74,64.48,68.90
15.85,-328.2E-3,9.319,29.31,48.74,64.48,68.90
17.78,-328.2E-3,9.319,29.31,48.74,64.48,68.90
19.95,-328.2E-3,9.319,29.31,48.74,64.48,68.90
22.39,-328.2E-3,9.319,29.31,48.74,64.48,68.90
25.12,-328.2E-3,9.319,29.31,48.74,64.48,68.90
28.18,-328.2E-3,9.319,29.31,48.74,64.48,68.90
31.62,-328.2E-3,9.319,29.31,48.74,64.48,68.90
35.48,-328.2E-3,9.319,29.31,48.74,64.48,68.89
39.81,-328.2E-3,9.319,29.31,48.74,64.48,68.89
44.67,-328.2E-3,9.319,29.31,48.74,64.48,68.89
50.12,-328.2E-3,9.319,29.31,48.74,64.48,68.89
56.23,-328.2E-3,9.319,29.31,48.74,64.48,68.89
63.10,-328.2E-3,9.319,29.31,48.74,64.48,68.89
70.79,-328.2E-3,9.319,29.31,48.74,64.48,68.89
