freq (Hz),value(db(mag(getData("loopGain" ?result "stb"))) "R2" 1000) (dB),value(db(mag(getData("loopGain" ?result "stb"))) "R2" 3000) (dB),value(db(mag(getData("loopGain" ?result "stb"))) "R2" 30000) (dB),value(db(mag(getData("loopGain" ?result "stb"))) "R2" 300000) (dB),value(db(mag(getData("loopGain" ?result "stb"))) "R2" 3000000) (dB),value(db(mag(getData("loopGain" ?result "stb"))) "R2" 10001000) (dB)
1.000,46.38,52.18,67.35,75.95,77.62,77.76
1.585,46.38,52.18,67.35,75.95,77.62,77.76
2.512,46.38,52.18,67.35,75.95,77.62,77.76
3.981,46.38,52.18,67.35,75.95,77.62,77.76
6.310,46.38,52.18,67.35,75.95,77.62,77.76
10.00,46.38,52.18,67.35,75.95,77.62,77.76
15.85,46.38,52.18,67.35,75.95,77.62,77.76
25.12,46.38,52.18,67.35,75.95,77.62,77.76
39.81,46.38,52.18,67.35,75.95,77.62,77.76
63.10,46.38,52.18,67.35,75.95,77.62,77.76
100.0,46.38,52.18,67.35,75.95,77.61,77.76
158.5,46.38,52.18,67.35,75.95,77.61,77.76
251.2,46.38,52.18,67.35,75.94,77.61,77.75
398.1,46.38,52.18,67.35,75.93,77.59,77.74
631.0,46.38,52.18,67.34,75.91,77.56,77.70
1.000E3,46.38,52.18,67.34,75.85,77.48,77.62
1.585E3,46.38,52.18,67.31,75.71,77.28,77.41
2.512E3,46.38,52.18,67.26,75.38,76.82,76.94
3.981E3,46.38,52.17,67.13,74.65,75.83,75.93
6.310E3,46.37,52.16,66.83,73.22,74.04,74.11
10.00E3,46.36,52.12,66.14,70.90,71.38,71.41
15.85E3,46.32,52.03,64.77,67.80,68.05,68.06
25.12E3,46.23,51.80,62.53,64.23,64.35,64.35
39.81E3,46.01,51.28,59.49,60.40,60.47,60.47
63.10E3,45.51,50.19,55.94,56.48,56.52,56.52
100.0E3,44.45,48.27,52.14,52.51,52.54,52.54
158.5E3,42.56,45.49,48.22,48.52,48.55,48.55
251.2E3,39.81,42.09,44.25,44.52,44.55,44.55
398.1E3,36.43,38.35,40.26,40.53,40.55,40.56
631.0E3,32.70,34.46,36.27,36.53,36.55,36.56
1.000E6,28.81,30.50,32.27,32.53,32.55,32.56
1.585E6,24.86,26.52,28.27,28.53,28.55,28.56
2.512E6,20.87,22.53,24.27,24.53,24.55,24.55
3.981E6,16.88,18.53,20.26,20.52,20.55,20.55
6.310E6,12.88,14.52,16.26,16.52,16.54,16.54
10.00E6,8.872,10.51,12.24,12.50,12.53,12.53
15.85E6,4.851,6.483,8.199,8.454,8.481,8.483
25.12E6,798.1E-3,2.410,4.096,4.346,4.372,4.374
39.81E6,-3.331,-1.765,-147.6E-3,89.66E-3,114.5E-3,116.5E-3
63.10E6,-7.627,-6.162,-4.689,-4.477,-4.455,-4.453
100.0E6,-12.26,-10.98,-9.765,-9.596,-9.578,-9.577
158.5E6,-17.49,-16.52,-15.65,-15.53,-15.52,-15.52
251.2E6,-23.68,-23.06,-22.55,-22.49,-22.48,-22.48
398.1E6,-31.08,-30.78,-30.54,-30.51,-30.51,-30.51
631.0E6,-39.56,-39.46,-39.40,-39.39,-39.39,-39.39
1.000E9,-48.55,-48.58,-48.62,-48.62,-48.62,-48.62
1.585E9,-57.59,-57.61,-57.63,-57.63,-57.63,-57.63
2.512E9,-66.88,-66.56,-66.22,-66.17,-66.17,-66.16
3.981E9,-76.81,-76.17,-74.54,-74.29,-74.27,-74.26
6.310E9,-80.66,-86.56,-82.85,-82.08,-82.00,-81.99
10.00E9,-78.88,-86.95,-91.26,-89.34,-89.16,-89.14
