freq (Hz),value(db(mag(getData("loopGain" ?result "stb"))) "R2" 1000) (dB),value(db(mag(getData("loopGain" ?result "stb"))) "R2" 3000) (dB),value(db(mag(getData("loopGain" ?result "stb"))) "R2" 30000) (dB),value(db(mag(getData("loopGain" ?result "stb"))) "R2" 300000) (dB),value(db(mag(getData("loopGain" ?result "stb"))) "R2" 3000000) (dB),value(db(mag(getData("loopGain" ?result "stb"))) "R2" 10001000) (dB)
1.000,34.35,34.12,31.49,20.35,2.040,-8.271
1.585,34.35,34.12,31.49,20.35,2.040,-8.271
2.512,34.35,34.12,31.49,20.35,2.040,-8.271
3.981,34.35,34.12,31.49,20.35,2.040,-8.271
6.310,34.35,34.12,31.49,20.35,2.040,-8.271
10.00,34.35,34.12,31.49,20.35,2.040,-8.271
15.85,34.35,34.12,31.49,20.35,2.040,-8.271
25.12,34.35,34.12,31.49,20.35,2.040,-8.271
39.81,34.35,34.12,31.49,20.35,2.040,-8.272
63.10,34.35,34.12,31.49,20.35,2.040,-8.272
100.0,34.35,34.12,31.49,20.35,2.039,-8.272
158.5,34.35,34.12,31.49,20.35,2.039,-8.272
251.2,34.35,34.12,31.49,20.34,2.038,-8.274
398.1,34.35,34.12,31.49,20.34,2.034,-8.277
631.0,34.35,34.12,31.49,20.34,2.026,-8.285
1.000E3,34.35,34.12,31.49,20.32,2.006,-8.306
1.585E3,34.35,34.12,31.48,20.29,1.957,-8.357
2.512E3,34.35,34.12,31.47,20.20,1.834,-8.484
3.981E3,34.35,34.12,31.44,20.00,1.540,-8.786
6.310E3,34.35,34.12,31.36,19.52,879.9E-3,-9.465
10.00E3,34.35,34.11,31.17,18.51,-437.4E-3,-10.81
15.85E3,34.34,34.08,30.72,16.68,-2.631,-13.04
25.12E3,34.32,34.03,29.77,13.99,-5.633,-16.06
39.81E3,34.26,33.89,28.02,10.64,-9.162,-19.60
63.10E3,34.13,33.56,25.39,6.926,-12.96,-23.41
100.0E3,33.81,32.82,22.09,3.046,-16.88,-27.33
158.5E3,33.10,31.39,18.40,-904.6E-3,-20.84,-31.29
251.2E3,31.70,29.07,14.53,-4.885,-24.83,-35.28
398.1E3,29.41,25.97,10.58,-8.877,-28.82,-39.28
631.0E3,26.34,22.39,6.603,-12.87,-32.82,-43.27
1.000E6,22.77,18.57,2.611,-16.87,-36.82,-47.27
1.585E6,18.96,14.64,-1.386,-20.87,-40.82,-51.27
2.512E6,15.04,10.67,-5.385,-24.87,-44.82,-55.27
3.981E6,11.07,6.682,-9.386,-28.88,-48.82,-59.28
6.310E6,7.076,2.683,-13.39,-32.88,-52.83,-63.28
10.00E6,3.076,-1.323,-17.40,-36.89,-56.84,-67.29
15.85E6,-935.9E-3,-5.342,-21.43,-40.92,-60.87,-71.32
25.12E6,-4.969,-9.390,-25.50,-45.00,-64.95,-75.40
39.81E6,-9.053,-13.51,-29.68,-49.19,-69.13,-79.59
63.10E6,-13.26,-17.80,-34.09,-53.62,-73.57,-84.02
100.0E6,-17.73,-22.45,-38.98,-58.55,-78.51,-88.96
158.5E6,-22.73,-27.75,-44.65,-64.27,-84.23,-94.69
251.2E6,-28.55,-33.93,-51.20,-70.88,-90.85,-101.3
398.1E6,-35.25,-40.94,-58.47,-78.19,-98.16,-108.6
631.0E6,-42.63,-48.49,-66.17,-85.90,-105.9,-116.3
1.000E9,-50.37,-56.32,-74.06,-93.80,-113.8,-124.2
1.585E9,-58.14,-64.13,-81.91,-101.6,-121.6,-132.1
2.512E9,-65.45,-71.46,-89.25,-109.0,-129.0,-139.4
3.981E9,-71.64,-77.67,-95.48,-115.2,-135.2,-145.7
6.310E9,-76.40,-82.47,-100.3,-120.1,-140.1,-150.5
10.00E9,-79.75,-85.91,-103.9,-123.6,-143.6,-154.1
