freq (Hz),H(f) (dB),Phase (deg)
1.000E3,9.994,179.9
1.122E3,9.994,179.9
1.259E3,9.994,179.9
1.413E3,9.994,179.9
1.585E3,9.994,179.9
1.778E3,9.994,179.9
1.995E3,9.994,179.9
2.239E3,9.994,179.9
2.512E3,9.994,179.9
2.818E3,9.994,179.9
3.162E3,9.994,179.8
3.548E3,9.994,179.8
3.981E3,9.994,179.8
4.467E3,9.994,179.8
5.012E3,9.994,179.7
5.623E3,9.994,179.7
6.310E3,9.994,179.7
7.079E3,9.994,179.6
7.943E3,9.993,179.6
8.913E3,9.993,179.5
10.00E3,9.993,179.5
11.22E3,9.993,179.4
12.59E3,9.993,179.4
14.13E3,9.993,179.3
15.85E3,9.993,179.2
17.78E3,9.992,179.1
19.95E3,9.992,179.0
22.39E3,9.992,178.9
25.12E3,9.991,178.7
28.18E3,9.990,178.6
31.62E3,9.990,178.4
35.48E3,9.988,178.2
39.81E3,9.987,178.0
44.67E3,9.985,177.7
50.12E3,9.983,177.4
56.23E3,9.980,177.1
63.10E3,9.977,176.8
70.79E3,9.973,176.4
79.43E3,9.967,175.9
89.13E3,9.960,175.5
100.0E3,9.952,174.9
112.2E3,9.941,174.3
125.9E3,9.927,173.6
141.3E3,9.910,172.8
158.5E3,9.889,172.0
177.8E3,9.862,171.0
199.5E3,9.828,169.9
223.9E3,9.787,168.8
251.2E3,9.734,167.4
281.8E3,9.670,166.0
316.2E3,9.590,164.4
354.8E3,9.491,162.6
398.1E3,9.370,160.7
446.7E3,9.223,158.6
501.2E3,9.044,156.4
562.3E3,8.829,154.0
631.0E3,8.573,151.5
707.9E3,8.272,148.9
794.3E3,7.921,146.3
891.3E3,7.517,143.6
1.000E6,7.058,140.9
1.122E6,6.544,138.3
1.259E6,5.976,135.8
1.413E6,5.357,133.5
1.585E6,4.691,131.4
1.778E6,3.983,129.6
1.995E6,3.240,128.1
2.239E6,2.468,126.8
2.512E6,1.675,125.9
2.818E6,866.2E-3,125.4
3.162E6,50.42E-3,125.2
3.548E6,-765.6E-3,125.4
3.981E6,-1.575,125.9
4.467E6,-2.370,126.8
5.012E6,-3.143,128.0
5.623E6,-3.889,129.5
6.310E6,-4.599,131.3
7.079E6,-5.269,133.4
7.943E6,-5.891,135.7
8.913E6,-6.463,138.1
10.00E6,-6.981,140.7
11.22E6,-7.444,143.4
12.59E6,-7.851,146.1
14.13E6,-8.206,148.8
15.85E6,-8.511,151.4
17.78E6,-8.770,153.9
19.95E6,-8.988,156.2
22.39E6,-9.169,158.5
25.12E6,-9.318,160.6
28.18E6,-9.441,162.5
31.62E6,-9.541,164.3
35.48E6,-9.622,165.9
39.81E6,-9.688,167.3
44.67E6,-9.741,168.7
50.12E6,-9.783,169.9
56.23E6,-9.817,170.9
63.10E6,-9.845,171.9
70.79E6,-9.866,172.8
79.43E6,-9.884,173.5
89.13E6,-9.898,174.2
100.0E6,-9.909,174.9
112.2E6,-9.917,175.4
125.9E6,-9.924,175.9
141.3E6,-9.930,176.3
158.5E6,-9.934,176.7
177.8E6,-9.938,177.1
199.5E6,-9.941,177.4
223.9E6,-9.943,177.7
251.2E6,-9.945,177.9
281.8E6,-9.946,178.1
316.2E6,-9.947,178.3
354.8E6,-9.948,178.5
398.1E6,-9.949,178.7
446.7E6,-9.949,178.8
501.2E6,-9.950,178.9
562.3E6,-9.950,179.0
631.0E6,-9.950,179.1
707.9E6,-9.950,179.2
794.3E6,-9.951,179.3
891.3E6,-9.951,179.4
1.000E9,-9.951,179.4
