freq (Hz),H(f) (dB),H(f) (dB)
-10.00E6,-14.15,-15.68
-9.980E6,-14.14,-15.67
-9.960E6,-14.12,-15.66
-9.940E6,-14.10,-15.64
-9.920E6,-14.09,-15.63
-9.900E6,-14.07,-15.61
-9.880E6,-14.05,-15.60
-9.860E6,-14.03,-15.58
-9.840E6,-14.02,-15.57
-9.820E6,-14.00,-15.56
-9.800E6,-13.98,-15.54
-9.780E6,-13.97,-15.53
-9.760E6,-13.95,-15.51
-9.740E6,-13.93,-15.50
-9.720E6,-13.92,-15.48
-9.700E6,-13.90,-15.47
-9.680E6,-13.88,-15.46
-9.660E6,-13.86,-15.44
-9.640E6,-13.85,-15.43
-9.620E6,-13.83,-15.41
-9.600E6,-13.81,-15.40
-9.580E6,-13.79,-15.38
-9.560E6,-13.78,-15.37
-9.540E6,-13.76,-15.35
-9.520E6,-13.74,-15.34
-9.500E6,-13.72,-15.32
-9.480E6,-13.71,-15.31
-9.460E6,-13.69,-15.30
-9.440E6,-13.67,-15.28
-9.420E6,-13.65,-15.27
-9.400E6,-13.64,-15.25
-9.380E6,-13.62,-15.24
-9.360E6,-13.60,-15.22
-9.340E6,-13.58,-15.21
-9.320E6,-13.57,-15.19
-9.300E6,-13.55,-15.18
-9.280E6,-13.53,-15.16
-9.260E6,-13.51,-15.15
-9.240E6,-13.49,-15.13
-9.220E6,-13.48,-15.12
-9.200E6,-13.46,-15.10
-9.180E6,-13.44,-15.09
-9.160E6,-13.42,-15.07
-9.140E6,-13.40,-15.06
-9.120E6,-13.39,-15.04
-9.100E6,-13.37,-15.03
-9.080E6,-13.35,-15.01
-9.060E6,-13.33,-15.00
-9.040E6,-13.31,-14.98
-9.020E6,-13.29,-14.97
-9.000E6,-13.28,-14.95
-8.980E6,-13.26,-14.94
-8.960E6,-13.24,-14.92
-8.940E6,-13.22,-14.90
-8.920E6,-13.20,-14.89
-8.900E6,-13.18,-14.87
-8.880E6,-13.16,-14.86
-8.860E6,-13.15,-14.84
-8.840E6,-13.13,-14.83
-8.820E6,-13.11,-14.81
-8.800E6,-13.09,-14.80
-8.780E6,-13.07,-14.78
-8.760E6,-13.05,-14.77
-8.740E6,-13.03,-14.75
-8.720E6,-13.01,-14.73
-8.700E6,-13.00,-14.72
-8.680E6,-12.98,-14.70
-8.660E6,-12.96,-14.69
-8.640E6,-12.94,-14.67
-8.620E6,-12.92,-14.66
-8.600E6,-12.90,-14.64
-8.580E6,-12.88,-14.62
-8.560E6,-12.86,-14.61
-8.540E6,-12.84,-14.59
-8.520E6,-12.82,-14.58
-8.500E6,-12.80,-14.56
-8.480E6,-12.78,-14.54
-8.460E6,-12.77,-14.53
-8.440E6,-12.75,-14.51
-8.420E6,-12.73,-14.50
-8.400E6,-12.71,-14.48
-8.380E6,-12.69,-14.46
-8.360E6,-12.67,-14.45
-8.340E6,-12.65,-14.43
-8.320E6,-12.63,-14.42
-8.300E6,-12.61,-14.40
-8.280E6,-12.59,-14.38
-8.260E6,-12.57,-14.37
-8.240E6,-12.55,-14.35
-8.220E6,-12.53,-14.33
-8.200E6,-12.51,-14.32
-8.180E6,-12.49,-14.30
-8.160E6,-12.47,-14.28
-8.140E6,-12.45,-14.27
-8.120E6,-12.43,-14.25
-8.100E6,-12.41,-14.23
-8.080E6,-12.39,-14.22
-8.060E6,-12.37,-14.20
-8.040E6,-12.35,-14.19
-8.020E6,-12.33,-14.17
-8.000E6,-12.31,-14.15
-7.980E6,-12.29,-14.13
-7.960E6,-12.27,-14.12
-7.940E6,-12.25,-14.10
-7.920E6,-12.22,-14.08
-7.900E6,-12.20,-14.07
-7.880E6,-12.18,-14.05
-7.860E6,-12.16,-14.03
-7.840E6,-12.14,-14.02
-7.820E6,-12.12,-14.00
-7.800E6,-12.10,-13.98
-7.780E6,-12.08,-13.97
-7.760E6,-12.06,-13.95
-7.740E6,-12.04,-13.93
-7.720E6,-12.02,-13.91
-7.700E6,-12.00,-13.90
-7.680E6,-11.97,-13.88
-7.660E6,-11.95,-13.86
-7.640E6,-11.93,-13.85
-7.620E6,-11.91,-13.83
-7.600E6,-11.89,-13.81
-7.580E6,-11.87,-13.79
-7.560E6,-11.85,-13.78
-7.540E6,-11.82,-13.76
-7.520E6,-11.80,-13.74
-7.500E6,-11.78,-13.72
-7.480E6,-11.76,-13.71
-7.460E6,-11.74,-13.69
-7.440E6,-11.72,-13.67
-7.420E6,-11.69,-13.65
-7.400E6,-11.67,-13.64
-7.380E6,-11.65,-13.62
-7.360E6,-11.63,-13.60
-7.340E6,-11.61,-13.58
-7.320E6,-11.58,-13.57
-7.300E6,-11.56,-13.55
-7.280E6,-11.54,-13.53
-7.260E6,-11.52,-13.51
-7.240E6,-11.50,-13.49
-7.220E6,-11.47,-13.48
-7.200E6,-11.45,-13.46
-7.180E6,-11.43,-13.44
-7.160E6,-11.41,-13.42
-7.140E6,-11.38,-13.40
-7.120E6,-11.36,-13.39
-7.100E6,-11.34,-13.37
-7.080E6,-11.32,-13.35
-7.060E6,-11.29,-13.33
-7.040E6,-11.27,-13.31
-7.020E6,-11.25,-13.29
-7.000E6,-11.22,-13.28
-6.980E6,-11.20,-13.26
-6.960E6,-11.18,-13.24
-6.940E6,-11.16,-13.22
-6.920E6,-11.13,-13.20
-6.900E6,-11.11,-13.18
-6.880E6,-11.09,-13.16
-6.860E6,-11.06,-13.15
-6.840E6,-11.04,-13.13
-6.820E6,-11.02,-13.11
-6.800E6,-10.99,-13.09
-6.780E6,-10.97,-13.07
-6.760E6,-10.95,-13.05
-6.740E6,-10.92,-13.03
-6.720E6,-10.90,-13.01
-6.700E6,-10.87,-13.00
-6.680E6,-10.85,-12.98
-6.660E6,-10.83,-12.96
-6.640E6,-10.80,-12.94
-6.620E6,-10.78,-12.92
-6.600E6,-10.75,-12.90
-6.580E6,-10.73,-12.88
-6.560E6,-10.71,-12.86
-6.540E6,-10.68,-12.84
-6.520E6,-10.66,-12.82
-6.500E6,-10.63,-12.80
-6.480E6,-10.61,-12.78
-6.460E6,-10.58,-12.76
