freq (Hz),H(f) (dB)
1.000E3,-95.72E-3
1.122E3,-95.72E-3
1.259E3,-95.72E-3
1.413E3,-95.72E-3
1.585E3,-95.72E-3
1.778E3,-95.72E-3
1.995E3,-95.72E-3
2.239E3,-95.72E-3
2.512E3,-95.72E-3
2.818E3,-95.72E-3
3.162E3,-95.72E-3
3.548E3,-95.72E-3
3.981E3,-95.72E-3
4.467E3,-95.71E-3
5.012E3,-95.71E-3
5.623E3,-95.71E-3
6.310E3,-95.70E-3
7.079E3,-95.70E-3
7.943E3,-95.69E-3
8.913E3,-95.68E-3
10.00E3,-95.67E-3
11.22E3,-95.66E-3
12.59E3,-95.64E-3
14.13E3,-95.62E-3
15.85E3,-95.60E-3
17.78E3,-95.56E-3
19.95E3,-95.52E-3
22.39E3,-95.47E-3
25.12E3,-95.40E-3
28.18E3,-95.32E-3
31.62E3,-95.21E-3
35.48E3,-95.08E-3
39.81E3,-94.91E-3
44.67E3,-94.70E-3
50.12E3,-94.43E-3
56.23E3,-94.09E-3
63.10E3,-93.67E-3
70.79E3,-93.14E-3
79.43E3,-92.47E-3
89.13E3,-91.62E-3
100.0E3,-90.56E-3
112.2E3,-89.22E-3
125.9E3,-87.53E-3
141.3E3,-85.40E-3
158.5E3,-82.71E-3
177.8E3,-79.31E-3
199.5E3,-75.03E-3
223.9E3,-69.61E-3
251.2E3,-62.76E-3
281.8E3,-54.09E-3
316.2E3,-43.11E-3
354.8E3,-29.17E-3
398.1E3,-11.47E-3
446.7E3,11.04E-3
501.2E3,39.65E-3
562.3E3,76.00E-3
631.0E3,122.0E-3
707.9E3,179.9E-3
794.3E3,251.4E-3
891.3E3,337.3E-3
1.000E6,433.6E-3
1.122E6,525.9E-3
1.259E6,574.9E-3
1.413E6,491.3E-3
1.585E6,105.5E-3
1.778E6,-817.6E-3
1.995E6,-2.448
2.239E6,-4.737
2.512E6,-7.464
2.818E6,-10.42
3.162E6,-13.46
3.548E6,-16.52
3.981E6,-19.59
4.467E6,-22.64
5.012E6,-25.69
5.623E6,-28.72
6.310E6,-31.74
7.079E6,-34.76
7.943E6,-37.77
8.913E6,-40.78
10.00E6,-43.79
11.22E6,-46.80
12.59E6,-49.82
14.13E6,-52.85
15.85E6,-55.92
17.78E6,-59.03
19.95E6,-62.21
22.39E6,-65.51
25.12E6,-69.01
28.18E6,-72.83
31.62E6,-77.25
35.48E6,-82.95
39.81E6,-92.66
44.67E6,-97.06
50.12E6,-88.02
56.23E6,-84.52
63.10E6,-82.57
70.79E6,-81.34
79.43E6,-80.49
89.13E6,-79.89
100.0E6,-79.45
