Freq ,Bandwidth,Error_Band
1.300E6,1.344E6,46.27E3
1.310E6,1.344E6,36.29E3
1.320E6,1.344E6,26.30E3
1.330E6,1.344E6,16.32E3
1.340E6,1.344E6,6.330E3
1.350E6,1.444E6,96.20E3
1.360E6,1.444E6,86.21E3
1.370E6,1.444E6,76.23E3
1.380E6,1.444E6,66.24E3
1.390E6,1.444E6,56.26E3
1.400E6,1.444E6,46.27E3
1.410E6,1.444E6,36.29E3
1.420E6,1.444E6,26.30E3
1.430E6,1.444E6,16.32E3
1.440E6,1.444E6,6.332E3
1.450E6,1.559E6,111.5E3
1.460E6,1.559E6,101.5E3
1.470E6,1.559E6,91.51E3
1.480E6,1.559E6,81.53E3
1.490E6,1.559E6,71.54E3
1.500E6,1.559E6,61.56E3
1.510E6,1.559E6,51.57E3
1.520E6,1.559E6,41.59E3
1.530E6,1.559E6,31.60E3
1.540E6,1.559E6,21.61E3
1.550E6,1.559E6,11.63E3
1.560E6,1.559E6,1.643E3
1.570E6,1.698E6,130.6E3
1.580E6,1.698E6,120.6E3
1.590E6,1.698E6,110.6E3
1.600E6,1.698E6,100.6E3
1.610E6,1.698E6,90.62E3
1.620E6,1.698E6,80.64E3
1.630E6,1.698E6,70.65E3
1.640E6,1.698E6,60.67E3
1.650E6,1.698E6,50.68E3
1.660E6,1.698E6,40.70E3
1.670E6,1.698E6,30.71E3
1.680E6,1.698E6,20.72E3
1.690E6,1.698E6,10.74E3
1.700E6,1.698E6,755.4
1.710E6,1.859E6,152.0E3
1.720E6,1.859E6,142.0E3
1.730E6,1.859E6,132.0E3
1.740E6,1.859E6,122.0E3
1.750E6,1.859E6,112.1E3
1.760E6,1.859E6,102.1E3
1.770E6,1.859E6,92.09E3
1.780E6,1.859E6,82.11E3
1.790E6,1.859E6,72.12E3
1.800E6,1.859E6,62.14E3
1.810E6,1.859E6,52.15E3
1.820E6,1.859E6,42.17E3
1.830E6,1.859E6,32.18E3
1.840E6,1.859E6,22.20E3
1.850E6,1.859E6,12.21E3
1.860E6,1.859E6,2.225E3
1.870E6,2.055E6,188.2E3
1.880E6,2.055E6,178.2E3
1.890E6,2.055E6,168.2E3
1.900E6,2.055E6,158.3E3
1.910E6,2.055E6,148.3E3
1.920E6,2.055E6,138.3E3
1.930E6,2.055E6,128.3E3
1.940E6,2.055E6,118.3E3
1.950E6,2.055E6,108.3E3
1.960E6,2.055E6,98.34E3
1.970E6,2.055E6,88.36E3
1.980E6,2.055E6,78.37E3
1.990E6,2.055E6,68.39E3
2.000E6,2.055E6,58.40E3
2.010E6,2.055E6,48.42E3
2.020E6,2.055E6,38.43E3
2.030E6,2.055E6,28.45E3
2.040E6,2.055E6,18.46E3
2.050E6,2.055E6,8.477E3
2.060E6,2.055E6,1.507E3
2.070E6,2.295E6,228.4E3
2.080E6,2.295E6,218.4E3
2.090E6,2.295E6,208.4E3
2.100E6,2.295E6,198.4E3
2.110E6,2.295E6,188.4E3
2.120E6,2.295E6,178.4E3
2.130E6,2.295E6,168.5E3
2.140E6,2.295E6,158.5E3
2.150E6,2.295E6,148.5E3
2.160E6,2.295E6,138.5E3
2.170E6,2.295E6,128.5E3
2.180E6,2.295E6,118.5E3
2.190E6,2.295E6,108.5E3
2.200E6,2.295E6,98.56E3
2.210E6,2.295E6,88.58E3
2.220E6,2.295E6,78.59E3
2.230E6,2.295E6,68.61E3
2.240E6,2.295E6,58.62E3
2.250E6,2.295E6,48.64E3
2.260E6,2.295E6,38.65E3
2.270E6,2.295E6,28.67E3
2.280E6,2.295E6,18.68E3
2.290E6,2.295E6,8.694E3
2.300E6,2.295E6,1.291E3
2.310E6,2.642E6,335.0E3
2.320E6,2.642E6,325.0E3
2.330E6,2.642E6,315.0E3
2.340E6,2.642E6,305.0E3
2.350E6,2.642E6,295.1E3
2.360E6,2.642E6,285.1E3
2.370E6,2.642E6,275.1E3
2.380E6,2.642E6,265.1E3
2.390E6,2.642E6,255.1E3
2.400E6,2.642E6,245.1E3
2.410E6,2.642E6,235.1E3
2.420E6,2.642E6,225.2E3
2.430E6,2.642E6,215.2E3
2.440E6,2.642E6,205.2E3
2.450E6,2.642E6,195.2E3
2.460E6,2.642E6,185.2E3
2.470E6,2.642E6,175.2E3
2.480E6,2.642E6,165.2E3
2.490E6,2.642E6,155.3E3
2.500E6,2.642E6,145.3E3
2.510E6,2.642E6,135.3E3
2.520E6,2.642E6,125.3E3
2.530E6,2.642E6,115.3E3
2.540E6,2.642E6,105.3E3
2.550E6,2.642E6,95.35E3
2.560E6,2.642E6,85.36E3
2.570E6,2.642E6,75.38E3
2.580E6,2.642E6,65.39E3
2.590E6,2.642E6,55.41E3
2.600E6,2.642E6,45.42E3
2.610E6,2.642E6,35.44E3
2.620E6,2.642E6,25.45E3
2.630E6,2.642E6,15.47E3
2.640E6,2.642E6,5.482E3
2.650E6,3.055E6,408.9E3
2.660E6,3.055E6,399.0E3
2.670E6,3.055E6,389.0E3
2.680E6,3.055E6,379.0E3
2.690E6,3.055E6,369.0E3
2.700E6,3.055E6,359.0E3
2.710E6,3.055E6,349.0E3
2.720E6,3.055E6,339.0E3
2.730E6,3.055E6,329.1E3
2.740E6,3.055E6,319.1E3
2.750E6,3.055E6,309.1E3
2.760E6,3.055E6,299.1E3
2.770E6,3.055E6,289.1E3
2.780E6,3.055E6,279.1E3
2.790E6,3.055E6,269.1E3
2.800E6,3.055E6,259.2E3
2.810E6,3.055E6,249.2E3
2.820E6,3.055E6,239.2E3
2.830E6,3.055E6,229.2E3
2.840E6,3.055E6,219.2E3
2.850E6,3.055E6,209.2E3
2.860E6,3.055E6,199.3E3
2.870E6,3.055E6,189.3E3
2.880E6,3.055E6,179.3E3
2.890E6,3.055E6,169.3E3
2.900E6,3.055E6,159.3E3
2.910E6,3.055E6,149.3E3
2.920E6,3.055E6,139.3E3
2.930E6,3.055E6,129.4E3
2.940E6,3.055E6,119.4E3
2.950E6,3.055E6,109.4E3
2.960E6,3.055E6,99.40E3
2.970E6,3.055E6,89.41E3
2.980E6,3.055E6,79.42E3
2.990E6,3.055E6,69.44E3
3.000E6,3.055E6,59.45E3
3.010E6,3.055E6,49.47E3
3.020E6,3.055E6,39.48E3
