freq (Hz),v /OUT; ac dB20(V) (dB),v /OUT; ac dB20(V) (dB),Loop Gain dB20 (dB)
100.0,73.99,26.24,32.46
112.2,73.99,26.24,32.46
125.9,73.99,26.24,32.46
141.3,73.99,26.24,32.46
158.5,73.99,26.24,32.46
177.8,73.99,26.24,32.46
199.5,73.99,26.24,32.46
223.9,73.99,26.24,32.46
251.2,73.99,26.24,32.46
281.8,73.99,26.24,32.46
316.2,73.99,26.24,32.46
354.8,73.99,26.24,32.46
398.1,73.99,26.24,32.46
446.7,73.98,26.24,32.46
501.2,73.98,26.24,32.46
562.3,73.98,26.24,32.46
631.0,73.97,26.24,32.46
707.9,73.97,26.24,32.46
794.3,73.96,26.24,32.46
891.3,73.95,26.24,32.46
1.000E3,73.94,26.24,32.46
1.122E3,73.92,26.24,32.46
1.259E3,73.90,26.24,32.46
1.413E3,73.88,26.24,32.46
1.585E3,73.85,26.24,32.46
1.778E3,73.81,26.24,32.45
1.995E3,73.77,26.24,32.45
2.239E3,73.71,26.24,32.45
2.512E3,73.64,26.24,32.45
2.818E3,73.55,26.24,32.44
3.162E3,73.44,26.24,32.44
3.548E3,73.31,26.24,32.44
3.981E3,73.15,26.24,32.43
4.467E3,72.96,26.24,32.42
5.012E3,72.72,26.24,32.41
5.623E3,72.45,26.24,32.40
6.310E3,72.12,26.24,32.38
7.079E3,71.75,26.24,32.36
7.943E3,71.31,26.24,32.34
8.913E3,70.82,26.24,32.30
10.00E3,70.28,26.24,32.26
11.22E3,69.68,26.24,32.21
12.59E3,69.02,26.24,32.15
14.13E3,68.31,26.24,32.08
15.85E3,67.56,26.24,31.98
17.78E3,66.77,26.24,31.87
19.95E3,65.94,26.24,31.73
22.39E3,65.08,26.24,31.55
25.12E3,64.20,26.24,31.35
28.18E3,63.30,26.24,31.10
31.62E3,62.37,26.24,30.81
35.48E3,61.43,26.24,30.46
39.81E3,60.48,26.24,30.07
44.67E3,59.52,26.24,29.62
50.12E3,58.56,26.24,29.11
56.23E3,57.58,26.24,28.54
63.10E3,56.60,26.24,27.92
70.79E3,55.62,26.23,27.25
79.43E3,54.63,26.23,26.52
89.13E3,53.64,26.23,25.76
100.0E3,52.65,26.23,24.95
112.2E3,51.66,26.23,24.11
125.9E3,50.66,26.22,23.25
141.3E3,49.67,26.22,22.36
158.5E3,48.67,26.21,21.44
177.8E3,47.67,26.21,20.51
199.5E3,46.67,26.20,19.57
223.9E3,45.67,26.19,18.62
251.2E3,44.68,26.17,17.66
281.8E3,43.68,26.16,16.68
316.2E3,42.68,26.14,15.71
354.8E3,41.68,26.11,14.73
398.1E3,40.68,26.08,13.74
446.7E3,39.68,26.03,12.75
501.2E3,38.68,25.98,11.76
562.3E3,37.68,25.92,10.77
631.0E3,36.68,25.84,9.777
707.9E3,35.68,25.74,8.782
794.3E3,34.68,25.62,7.786
891.3E3,33.68,25.48,6.789
1.000E6,32.68,25.30,5.791
1.122E6,31.68,25.09,4.792
1.259E6,30.68,24.83,3.794
1.413E6,29.68,24.53,2.794
1.585E6,28.68,24.18,1.795
1.778E6,27.68,23.77,794.9E-3
1.995E6,26.68,23.31,-205.3E-3
2.239E6,25.68,22.79,-1.206
2.512E6,24.67,22.22,-2.207
2.818E6,23.67,21.58,-3.208
3.162E6,22.67,20.90,-4.210
3.548E6,21.67,20.17,-5.212
3.981E6,20.67,19.39,-6.215
4.467E6,19.66,18.58,-7.218
5.012E6,18.66,17.73,-8.222
5.623E6,17.65,16.85,-9.227
6.310E6,16.65,15.95,-10.23
7.079E6,15.64,15.03,-11.24
7.943E6,14.63,14.09,-12.25
8.913E6,13.62,13.13,-13.26
10.00E6,12.61,12.16,-14.27
11.22E6,11.60,11.19,-15.28
12.59E6,10.58,10.20,-16.29
14.13E6,9.569,9.206,-17.31
15.85E6,8.551,8.206,-18.33
17.78E6,7.529,7.199,-19.34
19.95E6,6.504,6.185,-20.37
22.39E6,5.474,5.165,-21.40
25.12E6,4.438,4.138,-22.43
28.18E6,3.395,3.101,-23.47
31.62E6,2.341,2.055,-24.52
35.48E6,1.276,996.1E-3,-25.57
39.81E6,196.3E-3,-77.45E-3,-26.65
44.67E6,-901.8E-3,-1.169,-27.73
50.12E6,-2.022,-2.282,-28.84
56.23E6,-3.168,-3.421,-29.97
